trackName,gas,heading,brake,numCars,velocity,time,accG,carCoordinates,wheelLoad,trackConfig,wheelSlip,env_stat,localAngularVel,normalizedCarPosition,roll,steerAngle,pitch,localVelocity,surfaceGrip
magione,0.0,0.0,0.0,1,"[0.0, 0.0, 0.0]",0,"[0.0, 0.0, 0.0]","[-66.01118469238281, 5.464310646057129, -97.69367980957031]","[0.0, 0.0, 0.0, 0.0]",,"[0.0, 0.0, 0.0, 0.0]",{},"[0.0, 0.0, 0.0]",0.9977438449859619,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",1.0
magione,0.0,2.5946266651153564,0.0,1,"[0.00012491096276789904, 0.00012344236893113703, 5.227351721259765e-05]",0.9939980506896973,"[0.0, 0.0, 0.0]","[-66.01118469238281, 5.464513301849365, -97.69367980957031]","[3897.84033203125, 3902.718994140625, 4114.0927734375, 4093.703369140625]",,"[0.00509561225771904, 0.0037091446574777365, 0.03323911130428314, 0.032480381429195404]",{},"[0.0006776293739676476, -0.00021214978187344968, -0.00020945425785612315]",0.9977438449859619,0.0003227067645639181,0.0,0.0037015974521636963,"[-7.953986641950905e-05, 0.0001238216063939035, -0.00010915545863099396]",1.0
magione,1.0,2.6090073585510254,0.0,1,"[-0.1196741908788681, 0.019649844616651535, -0.4959035813808441]",1.986732006072998,"[-0.11187127232551575, 0.00032699829898774624, 0.3332878053188324]","[-66.02447509765625, 5.469182014465332, -97.75025939941406]","[3891.276123046875, 3378.530029296875, 4609.7001953125, 4148.74658203125]",,"[0.06355904787778854, 0.2424880862236023, 0.17780014872550964, 0.6230019927024841]",{},"[-0.028183111920952797, -0.11915892362594604, -0.03125399351119995]",0.9977661371231079,0.007980474270880222,0.8999999761581421,0.006918046157807112,"[-0.14882728457450867, 0.015086273662745953, 0.48810988664627075]",1.0
magione,1.0,2.8716070652008057,0.0,1,"[-1.8381811380386353, 0.018399899825453758, -5.946815013885498]",2.9772419929504395,"[0.21623051166534424, -0.026422716677188873, 0.6319378018379211]","[-66.67311096191406, 5.479900360107422, -100.84648132324219]","[2187.408935546875, 3966.933837890625, 4316.09521484375, 5375.087890625]",,"[0.1795872002840042, 0.23366132378578186, 1.645203948020935, 1.2115837335586548]",{},"[4.5833177864551544e-05, 0.2658337950706482, 0.05172886326909065]",0.9989590644836426,-0.01197803020477295,-0.1846158504486084,0.025414597243070602,"[0.18378639221191406, -0.14192165434360504, 6.220125675201416]",1.0
magione,1.0,2.580083131790161,0.0,1,"[-6.362570285797119, -0.06188423931598663, -10.571473121643066]",3.9698069095611572,"[0.09392881393432617, -0.04446772113442421, 0.6514599323272705]","[-70.77921295166016, 5.493410587310791, -109.06574249267578]","[2720.498046875, 3330.261962890625, 4590.1845703125, 4943.931640625]",,"[0.02910141833126545, 0.05130590870976448, 1.5497254133224487, 1.4918582439422607]",{},"[-0.004076067358255386, 0.05031886324286461, -0.011340444907546043]",0.0027129414957016706,-0.006204640492796898,0.020342539995908737,0.017410889267921448,"[-0.24503278732299805, -0.2751312851905823, 12.333145141601562]",1.0
magione,0.0,2.585709571838379,0.0,1,"[-9.351522445678711, -0.04314654320478439, -15.0498685836792]",4.961010932922363,"[-0.0015896223485469818, 7.561806705780327e-05, -0.022322311997413635]","[-78.92272186279297, 5.475339889526367, -122.15916442871094]","[4243.6689453125, 4101.11865234375, 3918.39501953125, 4007.133544921875]",,"[0.04198966920375824, 0.03674866631627083, 0.04024265706539154, 0.03728789836168289]",{},"[0.0786173939704895, -0.0033773023169487715, -0.008862774819135666]",0.009060279466211796,0.0008403835818171501,0.0008369044517166913,0.012536045163869858,"[0.002009868621826172, -0.26525717973709106, 17.716686248779297]",1.0
magione,1.0,2.5902113914489746,0.0,1,"[-11.85858154296875, 0.004316318314522505, -19.277854919433594]",5.952883958816528,"[-0.012019112706184387, 0.0007713991217315197, 0.49608853459358215]","[-89.36307525634766, 5.475882530212402, -139.04241943359375]","[3179.75244140625, 3301.512451171875, 4807.0673828125, 4620.53515625]",,"[0.04328900948166847, 0.033684078603982925, 0.39637070894241333, 0.39794260263442993]",{},"[0.009356305934488773, -0.0030827191658318043, 0.0036962274461984634]",0.017232954502105713,1.990558666875586e-05,0.001006602542474866,0.020427267998456955,"[0.0021877288818359375, -0.4579867422580719, 22.62857437133789]",1.0
magione,1.0,2.595193862915039,0.0,1,"[-14.14709758758545, -0.08002881705760956, -23.23065185546875]",6.945029020309448,"[-0.007018625736236572, -0.14797185361385345, 0.39314812421798706]","[-102.31710052490234, 5.472487926483154, -160.20797729492188]","[3034.421875, 3194.97705078125, 3782.7373046875, 3678.412109375]",,"[0.04627639800310135, 0.03261249139904976, 0.3933156728744507, 0.39670324325561523]",{},"[0.033729132264852524, -0.006727333180606365, -0.028602300211787224]",0.02745266631245613,0.0022346461191773415,0.0006655153702013195,0.014766283333301544,"[0.017409324645996094, -0.48160073161125183, 27.19518280029297]",1.0
magione,1.0,2.6028671264648438,0.0,1,"[-15.935259819030762, -0.015216418541967869, -26.603878021240234]",7.936033010482788,"[-0.020594671368598938, 0.049939803779125214, 0.34695982933044434]","[-117.24201202392578, 5.474881172180176, -184.9237823486328]","[3841.012939453125, 3685.09814453125, 4700.90869140625, 4265.42138671875]",,"[0.04328644648194313, 0.030768031254410744, 0.2664804756641388, 0.267599880695343]",{},"[0.0001774672418832779, -0.009272422641515732, -0.01349429227411747]",0.039344143122434616,0.0016004201024770737,0.0010147470748052,0.016671327874064445,"[0.030175209045410156, -0.5321415662765503, 31.006689071655273]",1.0
magione,1.0,2.611098527908325,0.0,1,"[-17.01522445678711, 0.05611952766776085, -28.93532371520996]",8.927881956100464,"[-0.04070807248353958, 0.07413974404335022, 0.32154127955436707]","[-133.6587371826172, 5.464317321777344, -212.5789794921875]","[3733.92626953125, 3524.99951171875, 4761.015625, 4830.55078125]",,"[0.04240800067782402, 0.014921262860298157, 0.21672546863555908, 0.21533188223838806]",{},"[-0.022050898522138596, -0.008394299075007439, 0.006566240452229977]",0.05259297415614128,0.002851088298484683,0.0017666444182395935,0.014433163218200207,"[0.03772163391113281, -0.4282473027706146, 33.56470489501953]",1.0
